,title,discounted price,brand,percent dicount,original cost,image link
27,Solid Men Black Track Pants,₹199,Salvo,71% off,₹699,https://rukminim1.flixcart.com/image/660/792/l2w7b0w0/shopsy-track-pant/h/w/w/28-75-salvo-original-image4ttspkgg5cw.jpeg?q=50
28,Solid Men Dark Blue Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/s/w/v/xxl-df1-navy-asdf-original-imageh9rzwntygg9.jpeg?q=50
29,Solid Men Light Green Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/w/f/d/l-df1-pista-asdf-asdf-original-imageg3kpzpzzfgc.jpeg?q=50
30,Checkered Men Multicolor Track Pants,₹199,VGPARROT,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l1tmf0w0/track-pant/j/y/b/free-n-206-vgparrot-original-imagdb2gygf3xx5j.jpeg?q=50
31,Solid Men Silver Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/v/l/q/xl-df1-grey-asdf-asdf-original-imageg3ghyyutgtb.jpeg?q=50
32,Solid Men Maroon Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3dcl8w0/track-pant/u/g/k/l-df1-maroon-asdf-asdf-original-imageg3k3fn49rnc.jpeg?q=50
33,Printed Men Black Track Pants,₹199,Jump Cuts,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/kz4gh3k0/track-pant/w/e/y/m-jc22-jogger-black-poly-line-jump-cuts-original-imagb76jupbz5yrv.jpeg?q=50
34,Solid Men Black Track Pants,₹199,blue dimand,60% off,₹499,https://rukminim1.flixcart.com/image/660/792/l2hwwi80/track-pant/a/o/c/l-black-pant-lycra-blue-dimand-original-imagdtqmayvyyudg.jpeg?q=50
35,Solid Men Maroon Track Pants,₹199,ASDF,80% off,₹999,https://rukminim1.flixcart.com/image/660/792/l3bx5e80/track-pant/c/9/g/m-df1-maroon-asdf-original-imageh9rhzfdtzf5.jpeg?q=50
36,Printed Men Multicolor Track Pants,₹199,VGPARROT,83% off,"₹1,199",https://rukminim1.flixcart.com/image/660/792/l1l1rww0/track-pant/5/s/9/s-03-206-vgparrot-original-imagd3wztpgwtnp4.jpeg?q=50
37,Solid Men Grey Track Pants,₹199,SR DESIGN,56% off,₹460,https://rukminim1.flixcart.com/image/660/792/l1b1oy80/track-pant/4/8/h/s-tr5550-s-sr-design-original-imagcwqhgmhrnc8j.jpeg?q=50
